transaction_id,expected_policies,expected_decision,fraud_group_id,is_closing
T-7516,,APPROVE,,false
T-7517,,APPROVE,,false
T-5545,FP-08,ESCALATE_TO_HUMAN,,false
T-1570,,APPROVE,,false
T-1759,,APPROVE,,false
T-4082,,APPROVE,,false
T-4083,,APPROVE,,false
T-7830,,APPROVE,,false
T-7212,,APPROVE,,false
T-4992,,APPROVE,,false
T-5560,,APPROVE,,false
T-1313,FP-08,ESCALATE_TO_HUMAN,,false
T-5004,FP-11,BLOCK,G-0006,true
T-2285,FP-07,ESCALATE_TO_HUMAN,,false
T-2586,,APPROVE,,false
T-7506,,APPROVE,,false
T-1438,,APPROVE,,false
T-1224,,APPROVE,,false
T-7466,FP-06,CHALLENGE,,false
T-1370,,APPROVE,,false
T-3878,,APPROVE,,false
T-2993,,APPROVE,,false
T-6208,,APPROVE,,false
T-7231,FP-11,BLOCK,G-0007,true
T-4703,,APPROVE,,false
T-1956,,APPROVE,,false
T-4653,,APPROVE,,false
T-3487,,APPROVE,,false
T-1981,,APPROVE,,false
T-6741,,APPROVE,,false
T-6070,,APPROVE,,false
T-4533,,APPROVE,,false
T-3028,,APPROVE,,false
T-7582,,APPROVE,,false
T-7869,,APPROVE,,false
T-6554,,APPROVE,,false
T-7868,,APPROVE,,false
T-6645,,APPROVE,,false
T-7737,,APPROVE,,false
T-6646,,APPROVE,,false
T-7809,,APPROVE,,false
T-7503,,APPROVE,,false
T-4189,,APPROVE,,false
T-1304,,APPROVE,,false
T-1305,,APPROVE,,false
T-6553,,APPROVE,,false
T-3216,,APPROVE,,false
T-1434,,APPROVE,,false
T-2557,,APPROVE,,false
T-5945,,APPROVE,,false
T-4756,,APPROVE,,false
T-1280,,APPROVE,,false
T-7428,,APPROVE,,false
T-1352,,APPROVE,,false
T-5209,,APPROVE,,false
T-7477,,APPROVE,,false
T-7871,,APPROVE,G-0008,false
T-5919,,APPROVE,,false
T-7872,,APPROVE,G-0008,false
T-5072,,APPROVE,,false
T-7873,FP-04,BLOCK,G-0008,true
T-2778,,APPROVE,,false
T-5449,,APPROVE,,false
T-4233,,APPROVE,,false
T-4234,,APPROVE,,false
T-2399,FP-02,ESCALATE_TO_HUMAN,,false
T-3887,,APPROVE,,false
T-3282,,APPROVE,,false
T-4385,,APPROVE,,false
T-3245,,APPROVE,,false
T-2585,,APPROVE,,false
T-6879,,APPROVE,,false
T-7164,,APPROVE,G-0009,false
T-7165,,APPROVE,G-0009,false
T-7166,FP-04,BLOCK,G-0009,true
T-5639,,APPROVE,,false
T-1573,,APPROVE,,false
T-3258,,APPROVE,,false
T-2852,,APPROVE,,false
T-2690,,APPROVE,,false
T-3668,,APPROVE,,false
T-6274,,APPROVE,,false
T-2578,,APPROVE,,false
T-6665,,APPROVE,,false
T-1764,,APPROVE,,false
T-2044,,APPROVE,,false
T-7136,,APPROVE,,false
T-3217,,APPROVE,,false
T-6525,,APPROVE,,false
T-6892,,APPROVE,,false
T-7616,,APPROVE,,false
T-5236,,APPROVE,,false
T-2973,,APPROVE,,false
T-3431,,APPROVE,,false
T-2837,,APPROVE,,false
T-6189,,APPROVE,,false
T-7628,,APPROVE,,false
T-1809,FP-01,CHALLENGE,,false
T-7609,,APPROVE,,false
T-3712,,APPROVE,,false
T-7675,,APPROVE,,false
T-7340,,APPROVE,,false
T-3785,,APPROVE,,false
T-5563,,APPROVE,,false
T-4441,,APPROVE,,false
T-6056,FP-02,ESCALATE_TO_HUMAN,,false
T-4055,,APPROVE,,false
T-7916,,APPROVE,,false
T-3694,,APPROVE,,false
T-1033,FP-01,CHALLENGE,,false
T-6829,,APPROVE,,false
T-5185,,APPROVE,,false
T-7464,,APPROVE,,false
T-6435,,APPROVE,,false
T-1560,,APPROVE,,false
T-2587,,APPROVE,,false
T-5579,,APPROVE,,false
T-5456,,APPROVE,,false
T-4382,,APPROVE,G-0011,false
T-2670,,APPROVE,,false
T-7272,FP-09,BLOCK,,false
T-5494,,APPROVE,,false
T-3671,,APPROVE,,false
T-2925,FP-01,CHALLENGE,,false
T-5144,,APPROVE,,false
T-4301,,APPROVE,,false
T-4027,,APPROVE,,false
T-7050,,APPROVE,,false
T-5178,,APPROVE,,false
T-4796,,APPROVE,,false
T-4383,,APPROVE,G-0011,false
T-2457,,APPROVE,,false
T-6156,,APPROVE,,false
T-1447,,APPROVE,,false
T-7392,,APPROVE,,false
T-2224,,APPROVE,,false
T-3846,FP-01,CHALLENGE,,false
T-5599,,APPROVE,,false
T-7140,,APPROVE,,false
T-5282,,APPROVE,,false
T-6564,,APPROVE,G-0010,false
T-6565,,APPROVE,G-0010,false
T-6566,,APPROVE,G-0010,false
T-6567,FP-03,BLOCK,G-0010,true
T-6285,,APPROVE,,false
T-4384,FP-11,BLOCK,G-0011,true
T-4699,FP-09,BLOCK,,false
T-3422,,APPROVE,,false
T-3998,,APPROVE,,false
T-5652,FP-02,ESCALATE_TO_HUMAN,,false
T-2653,,APPROVE,,false
T-7706,,APPROVE,,false
T-1946,,APPROVE,,false
T-4086,,APPROVE,,false
T-1311,,APPROVE,,false
T-4353,,APPROVE,,false
T-2863,,APPROVE,,false
T-3063,,APPROVE,G-0012,false
T-1630,,APPROVE,G-0013,false
T-7727,,APPROVE,,false
T-5196,,APPROVE,G-0014,false
T-6920,,APPROVE,,false
T-7269,,APPROVE,,false
T-1353,,APPROVE,,false
T-3306,,APPROVE,,false
T-2012,,APPROVE,,false
T-6346,,APPROVE,,false
T-5477,,APPROVE,,false
T-2125,,APPROVE,,false
T-4718,,APPROVE,,false
T-5016,,APPROVE,,false
T-3064,FP-05,ESCALATE_TO_HUMAN,G-0012,true
T-1631,FP-05,ESCALATE_TO_HUMAN,G-0013,true
T-7605,,APPROVE,G-0015,false
T-7606,,APPROVE,G-0015,false
T-5197,FP-05,ESCALATE_TO_HUMAN,G-0014,true
T-7607,,APPROVE,G-0015,false
T-4120,,APPROVE,,false
T-7608,FP-03,BLOCK,G-0015,true
T-4795,,APPROVE,,false
T-1441,,APPROVE,,false
T-4724,FP-08,ESCALATE_TO_HUMAN,,false
T-2851,,APPROVE,,false
T-6890,,APPROVE,,false
T-3618,,APPROVE,G-0017,false
T-7554,,APPROVE,,false
T-1567,,APPROVE,,false
T-1462,,APPROVE,,false
T-7979,,APPROVE,,false
T-3410,,APPROVE,,false
T-1823,,APPROVE,,false
T-4046,FP-07,ESCALATE_TO_HUMAN,,false
T-3376,,APPROVE,,false
T-7889,,APPROVE,,false
T-2231,,APPROVE,,false
T-3295,,APPROVE,,false
T-3741,,APPROVE,,false
T-2098,,APPROVE,,false
T-1918,,APPROVE,,false
T-2509,,APPROVE,,false
T-2593,,APPROVE,,false
T-3335,,APPROVE,,false
T-7681,,APPROVE,,false
T-7280,,APPROVE,,false
T-4459,,APPROVE,,false
T-6031,,APPROVE,,false
T-7883,,APPROVE,,false
T-7227,,APPROVE,,false
T-3905,,APPROVE,,false
T-5628,,APPROVE,,false
T-6271,,APPROVE,,false
T-7794,,APPROVE,,false
T-1515,,APPROVE,,false
T-4560,,APPROVE,,false
T-6060,,APPROVE,G-0018,false
T-3619,,APPROVE,G-0017,false
T-4793,,APPROVE,,false
T-1463,,APPROVE,,false
T-7205,,APPROVE,,false
T-3259,,APPROVE,,false
T-5918,FP-08,ESCALATE_TO_HUMAN,,false
T-7100,,APPROVE,,false
T-1673,,APPROVE,G-0016,false
T-2505,,APPROVE,,false
T-2487,,APPROVE,,false
T-1832,,APPROVE,,false
T-2506,,APPROVE,,false
T-2507,,APPROVE,,false
T-5210,,APPROVE,,false
T-7961,,APPROVE,,false
T-2396,FP-07,ESCALATE_TO_HUMAN,,false
T-5391,,APPROVE,,false
T-4437,,APPROVE,,false
T-3709,,APPROVE,,false
T-7417,,APPROVE,,false
T-3710,,APPROVE,,false
T-7418,,APPROVE,,false
T-4096,FP-07,ESCALATE_TO_HUMAN,,false
T-3871,,APPROVE,,false
T-3711,,APPROVE,,false
T-7147,,APPROVE,,false
T-7419,,APPROVE,,false
T-5468,,APPROVE,,false
T-3634,,APPROVE,,false
T-2834,FP-09,BLOCK,,false
T-1150,,APPROVE,,false
T-5221,,APPROVE,,false
T-1715,,APPROVE,,false
T-5742,,APPROVE,,false
T-6034,,APPROVE,,false
T-7254,,APPROVE,,false
T-6945,,APPROVE,,false
T-2853,,APPROVE,,false
T-5651,,APPROVE,,false
T-1158,,APPROVE,,false
T-6049,,APPROVE,,false
T-3581,,APPROVE,,false
T-1790,,APPROVE,,false
T-6017,,APPROVE,,false
T-2180,,APPROVE,,false
T-6201,,APPROVE,,false
T-1674,FP-05,ESCALATE_TO_HUMAN,G-0016,true
T-6061,,APPROVE,G-0018,false
T-3620,FP-11,BLOCK,G-0017,true
T-5605,,APPROVE,,false
T-2741,,APPROVE,,false
T-1218,,APPROVE,,false
T-6878,,APPROVE,,false
T-2157,,APPROVE,,false
T-1464,,APPROVE,,false
T-7757,,APPROVE,,false
T-1525,,APPROVE,,false
T-1526,,APPROVE,,false
T-1527,,APPROVE,,false
T-2786,,APPROVE,,false
T-7862,FP-02,ESCALATE_TO_HUMAN,,false
T-4038,,APPROVE,,false
T-3884,,APPROVE,,false
T-1178,,APPROVE,,false
T-3025,,APPROVE,,false
T-6690,,APPROVE,,false
T-2869,,APPROVE,,false
T-3984,,APPROVE,,false
T-2901,,APPROVE,,false
T-3985,,APPROVE,,false
T-2902,,APPROVE,,false
T-7947,,APPROVE,,false
T-1343,,APPROVE,,false
T-7190,FP-08,ESCALATE_TO_HUMAN,,false
T-1147,,APPROVE,,false
T-3859,,APPROVE,,false
T-6981,,APPROVE,,false
T-2081,,APPROVE,,false
T-4180,FP-07,ESCALATE_TO_HUMAN,,false
T-7271,,APPROVE,,false
T-1870,,APPROVE,,false
T-1003,,APPROVE,,false
T-7783,,APPROVE,,false
T-3203,,APPROVE,,false
T-6322,,APPROVE,,false
T-5841,,APPROVE,,false
T-6062,FP-11,BLOCK,G-0018,true
T-7740,,APPROVE,,false
T-5712,,APPROVE,,false
T-6969,,APPROVE,,false
T-3239,,APPROVE,,false
T-4504,,APPROVE,,false
T-1935,,APPROVE,,false
T-5891,,APPROVE,,false
T-1936,,APPROVE,,false
T-6470,,APPROVE,,false
T-1876,,APPROVE,,false
T-2004,,APPROVE,,false
T-5622,,APPROVE,,false
T-4487,,APPROVE,,false
T-1539,,APPROVE,,false
T-6004,,APPROVE,,false
T-7423,,APPROVE,,false
T-3653,,APPROVE,,false
T-7987,,APPROVE,,false
T-7785,FP-09,BLOCK,,false
T-2222,FP-02,ESCALATE_TO_HUMAN,,false
T-1850,FP-08,ESCALATE_TO_HUMAN,,false
T-7917,,APPROVE,,false
T-2410,,APPROVE,,false
T-5498,FP-09,BLOCK,,false
T-7723,FP-02,ESCALATE_TO_HUMAN,,false
T-6326,,APPROVE,,false
T-1393,,APPROVE,,false
T-4393,,APPROVE,,false
T-5731,,APPROVE,,false
T-3509,,APPROVE,,false
T-6168,,APPROVE,,false
T-5653,,APPROVE,,false
T-6384,,APPROVE,,false
T-4881,,APPROVE,,false
T-5644,,APPROVE,,false
T-3029,,APPROVE,,false
T-3643,,APPROVE,,false
T-1357,FP-09,BLOCK,,false
T-2612,,APPROVE,,false
T-2136,,APPROVE,,false
T-5419,,APPROVE,,false
T-1023,,APPROVE,,false
T-7324,,APPROVE,,false
T-1075,,APPROVE,,false
T-7566,,APPROVE,,false
T-6291,,APPROVE,,false
T-6493,,APPROVE,,false
T-1827,,APPROVE,,false
T-3333,,APPROVE,,false
T-7687,,APPROVE,,false
T-6076,,APPROVE,,false
T-3797,,APPROVE,,false
T-1763,,APPROVE,,false
T-2518,,APPROVE,,false
T-7159,,APPROVE,,false
T-4010,,APPROVE,,false
T-4993,,APPROVE,,false
T-5717,,APPROVE,,false
T-1121,FP-01,CHALLENGE,,false
T-4550,,APPROVE,,false
T-5113,FP-01,CHALLENGE,,false
T-4789,,APPROVE,,false
T-6336,,APPROVE,,false
T-5755,,APPROVE,,false
T-6990,,APPROVE,,false
T-1733,,APPROVE,,false
T-3544,,APPROVE,,false
T-6442,,APPROVE,,false
T-4652,,APPROVE,,false
T-2785,,APPROVE,,false
T-4568,,APPROVE,,false
T-5976,,APPROVE,,false
T-7533,,APPROVE,,false
T-7653,,APPROVE,,false
T-7119,,APPROVE,,false
T-6046,,APPROVE,,false
T-3545,,APPROVE,,false
T-6546,,APPROVE,,false
T-3111,,APPROVE,,false
T-4991,,APPROVE,,false
T-2339,,APPROVE,,false
T-5057,,APPROVE,,false
T-7856,,APPROVE,,false
T-5218,FP-06,CHALLENGE,,false
T-7338,,APPROVE,,false
T-1726,,APPROVE,,false
T-4528,,APPROVE,,false
T-1727,,APPROVE,,false
T-4529,,APPROVE,,false
T-1728,,APPROVE,,false
T-4530,,APPROVE,,false
T-3592,,APPROVE,,false
T-1709,,APPROVE,,false
T-3546,,APPROVE,,false
T-1846,,APPROVE,,false
T-8000,,APPROVE,,false
T-2276,FP-09,BLOCK,,false
T-7828,,APPROVE,,false
T-3102,,APPROVE,,false
T-1773,,APPROVE,,false
T-1910,FP-09,BLOCK,,false
T-5307,,APPROVE,,false
T-2541,,APPROVE,,false
T-3326,,APPROVE,,false
T-1740,,APPROVE,,false
T-3193,,APPROVE,,false
T-5323,,APPROVE,,false
T-2185,,APPROVE,,false
T-2016,,APPROVE,,false
T-6723,,APPROVE,,false
T-1772,,APPROVE,,false
T-6376,FP-06,CHALLENGE,,false
T-4797,,APPROVE,,false
T-5203,,APPROVE,,false
T-7928,,APPROVE,,false
T-7039,,APPROVE,,false
T-7093,,APPROVE,,false
T-1347,,APPROVE,,false
T-3981,,APPROVE,,false
T-7184,,APPROVE,,false
T-4140,,APPROVE,,false
T-6661,,APPROVE,,false
T-1355,FP-08,ESCALATE_TO_HUMAN,,false
T-5432,,APPROVE,,false
T-4700,,APPROVE,,false
T-5150,,APPROVE,,false
T-3894,,APPROVE,,false
T-4640,,APPROVE,,false
T-3400,,APPROVE,,false
T-7767,,APPROVE,,false
T-5146,,APPROVE,,false
T-5079,,APPROVE,,false
T-1509,,APPROVE,,false
T-7798,,APPROVE,,false
T-6662,,APPROVE,,false
T-6482,,APPROVE,,false
T-3426,,APPROVE,,false
T-4030,,APPROVE,,false
T-5965,,APPROVE,,false
T-1031,,APPROVE,,false
T-2092,,APPROVE,,false
T-3766,,APPROVE,,false
T-6986,,APPROVE,,false
T-4726,,APPROVE,G-0021,false
T-4683,,APPROVE,,false
T-6959,,APPROVE,,false
T-5186,,APPROVE,,false
T-3310,,APPROVE,,false
T-7509,,APPROVE,,false
T-4733,,APPROVE,,false
T-4329,,APPROVE,,false
T-4330,,APPROVE,,false
T-6521,,APPROVE,,false
T-6522,,APPROVE,,false
T-5709,,APPROVE,,false
T-6085,,APPROVE,,false
T-3037,,APPROVE,,false
T-7831,,APPROVE,,false
T-4771,,APPROVE,,false
T-3050,,APPROVE,,false
T-4674,,APPROVE,,false
T-6524,,APPROVE,,false
T-3148,,APPROVE,,false
T-4094,,APPROVE,,false
T-2113,,APPROVE,,false
T-3098,,APPROVE,,false
T-2363,,APPROVE,,false
T-6026,,APPROVE,,false
T-6027,,APPROVE,,false
T-6028,,APPROVE,,false
T-1563,,APPROVE,,false
T-3646,,APPROVE,,false
T-5350,,APPROVE,G-0019,false
T-7547,,APPROVE,,false
T-5351,,APPROVE,G-0019,false
T-3183,,APPROVE,,false
T-5352,FP-04,BLOCK,G-0019,true
T-4727,,APPROVE,G-0021,false
T-4518,,APPROVE,,false
T-5942,,APPROVE,,false
T-4747,,APPROVE,,false
T-3018,,APPROVE,,false
T-4232,,APPROVE,,false
T-1116,,APPROVE,,false
T-4906,,APPROVE,,false
T-1750,,APPROVE,,false
T-4586,,APPROVE,,false
T-4165,,APPROVE,,false
T-5154,,APPROVE,,false
T-4860,,APPROVE,,false
T-4682,,APPROVE,,false
T-2616,,APPROVE,G-0020,false
T-2617,,APPROVE,G-0020,false
T-2618,,APPROVE,G-0020,false
T-2619,FP-03,BLOCK,G-0020,true
T-7935,,APPROVE,,false
T-6022,,APPROVE,,false
T-1020,,APPROVE,,false
T-4311,,APPROVE,,false
T-7777,,APPROVE,,false
T-5163,,APPROVE,,false
T-6286,,APPROVE,,false
T-2416,,APPROVE,,false
T-6958,,APPROVE,,false
T-2252,,APPROVE,,false
T-2654,,APPROVE,,false
T-3137,,APPROVE,,false
T-7116,,APPROVE,,false
T-4728,FP-11,BLOCK,G-0021,true
T-3221,,APPROVE,,false
T-4540,,APPROVE,,false
T-1253,,APPROVE,,false
T-2842,,APPROVE,,false
T-1244,,APPROVE,,false
T-2968,,APPROVE,,false
T-1522,,APPROVE,,false
T-1836,,APPROVE,,false
T-6686,,APPROVE,,false
T-1084,,APPROVE,G-0022,false
T-1085,,APPROVE,G-0022,false
T-1086,FP-04,BLOCK,G-0022,true
T-4944,,APPROVE,,false
T-6002,,APPROVE,,false
T-3059,,APPROVE,,false
T-2535,,APPROVE,,false
T-1034,,APPROVE,,false
T-2370,,APPROVE,,false
T-3489,,APPROVE,,false
T-6354,FP-06,CHALLENGE,,false
T-3243,,APPROVE,,false
T-6719,,APPROVE,,false
T-5121,,APPROVE,,false
T-1450,,APPROVE,,false
T-2792,,APPROVE,,false
T-1791,,APPROVE,,false
T-2773,,APPROVE,,false
T-4949,,APPROVE,,false
T-7247,,APPROVE,,false
T-5553,FP-09,BLOCK,,false
T-2169,,APPROVE,,false
T-6416,,APPROVE,,false
T-5756,,APPROVE,,false
T-2320,,APPROVE,,false
T-5272,,APPROVE,,false
T-7356,,APPROVE,,false
T-5687,,APPROVE,,false
T-7981,,APPROVE,,false
T-2305,,APPROVE,,false
T-6212,,APPROVE,,false
T-3105,,APPROVE,,false
T-6308,,APPROVE,,false
T-2388,,APPROVE,,false
T-4574,,APPROVE,,false
T-3744,,APPROVE,,false
T-6262,,APPROVE,,false
T-4880,,APPROVE,,false
T-7150,,APPROVE,,false
T-5071,,APPROVE,,false
T-6699,,APPROVE,,false
T-4074,FP-08,ESCALATE_TO_HUMAN,,false
T-1455,,APPROVE,,false
T-5273,,APPROVE,,false
T-7319,,APPROVE,,false
T-4687,,APPROVE,,false
T-1600,FP-07,ESCALATE_TO_HUMAN,,false
T-3286,,APPROVE,,false
T-6197,,APPROVE,,false
T-4458,,APPROVE,,false
T-7199,,APPROVE,,false
T-7677,,APPROVE,,false
T-6751,FP-09,BLOCK,,false
T-4278,,APPROVE,,false
T-1263,FP-01,CHALLENGE,,false
T-6563,,APPROVE,,false
T-5262,,APPROVE,,false
T-3257,,APPROVE,,false
T-7718,,APPROVE,G-0025,false
T-7483,,APPROVE,,false
T-1799,,APPROVE,,false
T-4631,,APPROVE,,false
T-4414,,APPROVE,,false
T-3942,,APPROVE,,false
T-6759,,APPROVE,,false
T-7719,,APPROVE,G-0025,false
T-3863,,APPROVE,,false
T-5647,,APPROVE,,false
T-3364,,APPROVE,G-0023,false
T-3365,,APPROVE,G-0023,false
T-3366,,APPROVE,G-0023,false
T-3367,FP-03,BLOCK,G-0023,true
T-3320,,APPROVE,,false
T-4602,,APPROVE,,false
T-2669,,APPROVE,,false
T-7405,,APPROVE,G-0024,false
T-7406,,APPROVE,G-0024,false
T-7407,,APPROVE,G-0024,false
T-7408,FP-03,BLOCK,G-0024,true
T-3801,,APPROVE,,false
T-3101,,APPROVE,,false
T-7561,,APPROVE,,false
T-2229,,APPROVE,,false
T-2128,,APPROVE,,false
T-6184,,APPROVE,,false
T-2488,,APPROVE,,false
T-7061,,APPROVE,,false
T-7152,,APPROVE,,false
T-4539,,APPROVE,,false
T-4196,,APPROVE,,false
T-4480,,APPROVE,,false
T-7720,FP-11,BLOCK,G-0025,true
T-1656,,APPROVE,,false
T-7860,,APPROVE,,false
T-2940,,APPROVE,,false
T-1695,,APPROVE,,false
T-6725,,APPROVE,,false
T-3311,,APPROVE,,false
T-3423,,APPROVE,,false
T-3065,,APPROVE,,false
T-2056,,APPROVE,,false
T-2605,,APPROVE,,false
T-1717,,APPROVE,,false
T-3680,,APPROVE,,false
T-2489,,APPROVE,,false
T-3289,,APPROVE,,false
T-3793,,APPROVE,,false
T-5719,,APPROVE,,false
T-3751,,APPROVE,,false
T-3688,,APPROVE,,false
T-2355,,APPROVE,G-0028,false
T-4767,,APPROVE,,false
T-2838,,APPROVE,,false
T-6090,,APPROVE,,false
T-6091,,APPROVE,,false
T-5048,,APPROVE,,false
T-7281,FP-08,ESCALATE_TO_HUMAN,,false
T-5140,,APPROVE,,false
T-1185,,APPROVE,,false
T-2025,,APPROVE,,false
T-4644,,APPROVE,,false
T-2037,,APPROVE,,false
T-2747,,APPROVE,,false
T-3629,,APPROVE,,false
T-4285,,APPROVE,,false
T-7179,,APPROVE,,false
T-4464,,APPROVE,,false
T-2895,,APPROVE,,false
T-6985,,APPROVE,,false
T-7471,,APPROVE,,false
T-2490,,APPROVE,,false
T-4985,,APPROVE,,false
T-2358,,APPROVE,,false
T-2874,,APPROVE,,false
T-7490,,APPROVE,,false
T-4987,,APPROVE,,false
T-2823,,APPROVE,,false
T-2356,,APPROVE,G-0028,false
T-1908,,APPROVE,,false
T-6385,,APPROVE,,false
T-1094,,APPROVE,,false
T-2584,,APPROVE,,false
T-3051,,APPROVE,,false
T-1051,,APPROVE,,false
T-3773,FP-07,ESCALATE_TO_HUMAN,,false
T-1605,,APPROVE,,false
T-1849,,APPROVE,,false
T-6806,,APPROVE,,false
T-4564,,APPROVE,,false
T-4352,,APPROVE,,false
T-4161,,APPROVE,G-0026,false
T-4162,,APPROVE,G-0026,false
T-4163,,APPROVE,G-0026,false
T-4164,FP-03,BLOCK,G-0026,true
T-7800,,APPROVE,,false
T-1541,,APPROVE,,false
T-6779,,APPROVE,,false
T-3456,,APPROVE,,false
T-1181,,APPROVE,,false
T-1698,,APPROVE,G-0027,false
T-1699,,APPROVE,G-0027,false
T-1700,FP-04,BLOCK,G-0027,true
T-7312,,APPROVE,,false
T-4462,,APPROVE,,false
T-2691,,APPROVE,,false
T-3924,,APPROVE,,false
T-7685,,APPROVE,,false
T-3925,,APPROVE,,false
T-6835,,APPROVE,,false
T-4707,,APPROVE,,false
T-3627,,APPROVE,,false
T-4558,,APPROVE,,false
T-6464,,APPROVE,,false
T-1671,,APPROVE,,false
T-3321,FP-06,CHALLENGE,,false
T-4761,,APPROVE,,false
T-2357,FP-11,BLOCK,G-0028,true
T-2814,,APPROVE,,false
T-3689,FP-08,ESCALATE_TO_HUMAN,,false
T-1770,,APPROVE,,false
T-6476,,APPROVE,,false
T-3163,,APPROVE,,false
T-4141,FP-06,CHALLENGE,,false
T-7311,,APPROVE,,false
T-4048,,APPROVE,,false
T-2270,,APPROVE,,false
T-3013,,APPROVE,,false
T-2966,,APPROVE,,false
T-4284,,APPROVE,,false
T-7683,,APPROVE,,false
T-3673,,APPROVE,,false
T-3058,,APPROVE,,false
T-2930,,APPROVE,,false
T-2800,,APPROVE,,false
T-7510,,APPROVE,,false
T-3309,,APPROVE,,false
T-5550,,APPROVE,,false
T-1961,,APPROVE,,false
T-6727,,APPROVE,,false
T-3454,,APPROVE,,false
T-4952,,APPROVE,,false
T-4527,,APPROVE,,false
T-3583,FP-07,ESCALATE_TO_HUMAN,,false
T-2369,,APPROVE,,false
T-5054,,APPROVE,,false
T-4573,,APPROVE,,false
T-2114,,APPROVE,,false
T-7250,,APPROVE,,false
T-7291,,APPROVE,,false
T-1345,,APPROVE,,false
T-2244,FP-02,ESCALATE_TO_HUMAN,,false
T-3730,,APPROVE,,false
T-7414,,APPROVE,,false
T-3182,,APPROVE,,false
T-6669,,APPROVE,,false
T-2120,,APPROVE,,false
